	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_64	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	NA	NA	NA
ASV_65	Viridiplantae	Tracheophyta	Angiospermae	Fabales	Fabaceae	Medicago	sativa
ASV_66	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	NA
ASV_67	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
ASV_68	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Itersonilia	NA
ASV_69	Mitochondrion	NA	NA	NA	NA	NA	NA
ASV_70	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV_71	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV_72	Fungi	Basidiomycota	Cystobasidiomycetes	NA	NA	NA	NA
ASV_73	Mitochondrion	NA	NA	NA	NA	NA	NA
ASV_74	Fungi	Ascomycota	Pichiomycetes	Serinales	Metschnikowiaceae	Metschnikowia	pulcherrima
ASV_75	Fungi	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Yamadazyma	mexicana
ASV_76	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	NA	NA
ASV_77	Mitochondrion	NA	NA	NA	NA	NA	NA
ASV_78	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hyphodontiaceae	Hyphodontia	crustosa
ASV_79	Fungi	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismataceae	Coccomyces	strobi
ASV_80	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Incrustoporiaceae	Tyromyces	chioneus
ASV_81	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Cylindrobasidium	evolvens
ASV_82	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Tulasnellaceae	Tulasnella	violea
ASV_83	NA	NA	NA	NA	NA	NA	NA
ASV_84	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Rattus	norvegicus
ASV_85	Straminipila	Raphidophyta	Raphidophyceae	Chattonellales	Vacuolariaceae	Merotricha	bacillata
ASV_86	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	NA
ASV_87	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV_88	Viridiplantae	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Trebouxia	NA
ASV_89	Mitochondrion	NA	NA	NA	NA	NA	NA
