	Kingdom	Phylum	Class	Order	Family	Genus	Species	NA	NA
ASV_45	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Panellus	Panellus_stypticus
ASV_46	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	NA	NA
ASV_47	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Resinicium	Resinicium_saccharicola
ASV_48	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Exidia	Exidia_glandulosa
ASV_49	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Cryptococcus	NA
ASV_50	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	NA	NA
ASV_51	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Hormonema	Hormonema_prunorum
ASV_52	Eukaryota	Amoebozoa	Evosea	Eumycetozoa	Myxogastria_Fuscisporidia	Stemonitida	Stemonitidae	NA	NA
ASV_53	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Orbiliomycetes	Lecophagus	NA
ASV_54	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Botryobasidium	Botryobasidium_subcoronatum
ASV_55	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Hyphodontia	Hyphodontia_floccosa
ASV_56	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Pucciniomycotina	Pucciniomycetes	Gymnoconia	Gymnoconia_nitens
ASV_57	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	NA	NA	NA	NA
ASV_58	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	NA	NA
ASV_59	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	NA	NA
ASV_60	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Taphrinomycotina	Taphrinomycetes	Taphrina	Taphrina_sp.
ASV_61	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	NA	NA
ASV_62	Eukaryota	TSAR	NA	NA	NA	NA	NA	NA	NA
ASV_63	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Hyphoderma	Hyphoderma_puberum
ASV_64	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Hyphodontia	Hyphodontia_sp.
ASV_65	Eukaryota	Archaeplastida	Streptophyta	Streptophyta_X	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Medicago	Medicago_sativa
ASV_66	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Taphrinomycotina	Taphrinomycetes	Taphrina	NA
ASV_67	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	NA	NA
ASV_68	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Guehomyces	Guehomyces_pullulans
ASV_69	Eukaryota	Amoebozoa	Evosea	Evosea_X	Variosea	Protosteliida	Protosteliida_X	Protostelium	Protostelium_mycophagum
ASV_70	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Pucciniomycotina	NA	NA	NA
ASV_71	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Eurotiomycetes	Knufia	Knufia_cryptophialidica
ASV_72	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Pucciniomycotina	Cystobasidiomycetes	NA	NA
ASV_73	Eukaryota	Amoebozoa	Evosea	Eumycetozoa	Myxogastria_Fuscisporidia	NA	NA	NA	NA
ASV_74	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetales	Metschnikowia	Metschnikowia_fructicola
ASV_75	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetales	Pichia	Pichia_mexicana
ASV_76	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	NA	NA	NA	NA
ASV_77	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASV_78	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Hyphodontia	Hyphodontia_crustosa
ASV_79	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	NA	NA
ASV_80	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Tyromyces	Tyromyces_chioneus
ASV_81	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Cylindrobasidium	Cylindrobasidium_laeve
ASV_82	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Tulasnella	Tulasnella_violea
ASV_83	Eukaryota	Obazoa	Opisthokonta	NA	NA	NA	NA	NA	NA
ASV_84	Eukaryota	Obazoa	Opisthokonta	Metazoa	Craniata	Craniata_X	Mammalia	NA	NA
ASV_85	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Ochromonadales	Ochromonadaceae	Poterioochromonas	Poterioochromonas_malhamensis
ASV_86	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	NA	NA
ASV_87	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Cystostereum	Cystostereum_murraii
ASV_88	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Trebouxiophyceae	Microthamniales	Microthamniales_X	Trebouxia	NA
ASV_89	NA	NA	NA	NA	NA	NA	NA	NA	NA
